party,press_release,claim_number,references
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,2,0
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,0
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,1,0
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,2,0
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,3,0
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,4,0
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,5,0
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,6,0
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,1,0
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,2,0
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,3,0
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,4,0
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,5,0
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,6,0
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,7,0
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,1,0
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,2,0
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,3,0
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,4,0
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,5,0
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,6,0
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,7,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,1,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,2,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,3,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,4,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,5,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,6,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,7,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,8,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,9,0
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,10,0
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,1,0
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,2,0
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,3,0
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,4,0
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,5,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,1,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,2,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,3,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,4,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,5,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,6,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,7,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,8,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,9,0
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10,0
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,1,0
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,2,0
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,3,0
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,4,0
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,5,0
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,6,0
Democratic,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,7,0
Democratic,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,1,0
Democratic,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,2,0
Democratic,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,3,0
Democratic,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,4,0
Democratic,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,5,0
Democratic,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,6,0
Democratic,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,7,0
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,1,0
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,2,0
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,3,0
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,4,0
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,5,0
Democratic,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,6,0
Democratic,20210811-assemblywoman-quirk-silva-secures-15-million-state-budget-computer-science.txt,1,0
Democratic,20210811-assemblywoman-quirk-silva-secures-15-million-state-budget-computer-science.txt,2,0
Democratic,20210811-assemblywoman-quirk-silva-secures-15-million-state-budget-computer-science.txt,3,0
Democratic,20210811-assemblywoman-quirk-silva-secures-15-million-state-budget-computer-science.txt,4,0
Democratic,20210811-assemblywoman-quirk-silva-secures-15-million-state-budget-computer-science.txt,5,0
Democratic,20210811-assemblywoman-quirk-silva-secures-15-million-state-budget-computer-science.txt,6,0
Democratic,20210811-assemblywoman-quirk-silva-secures-15-million-state-budget-computer-science.txt,7,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,1,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,2,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,3,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,4,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,5,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,6,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,7,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,8,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,9,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,10,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,11,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,12,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,13,0
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,14,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,1,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,2,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,3,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,4,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,5,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,6,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,7,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,8,0
Democratic,20211006-governor-signs-historic-legislation-transform-college-transfer-process.txt,9,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,1,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,2,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,3,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,4,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,5,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,6,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,7,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,8,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,9,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,10,0
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,11,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,1,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,2,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,3,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,4,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,5,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,6,0
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,7,0
