source,filename,document_date,num_sentences,ai_statement_count,matched_ai_terms,unique_urls_count,unique_dois_count,unique_arxiv_count,has_ai
Democratic Assembly,20160825-bill-aimed-massive-child-identity-theft-problem-sent-governor.txt,,21,0,,0,0,0,False
Democratic Assembly,20160914-assemblymember-jacqui-irwin-applauds-passage-bill-protect-california-cyber.txt,,17,0,,0,0,0,False
Democratic Assembly,20160914-assemblymember-jacqui-irwin-applauds-passage-job-creation-bill-will-bring.txt,,17,0,,0,0,0,False
Democratic Assembly,20160914-assemblymember-jacqui-irwin-praises-passage-bill-create-free-legal.txt,,13,0,,0,0,0,False
Democratic Assembly,20161012-289-million-approved-affordable-housing-and-transit-infrastructure.txt,,24,0,,0,0,0,False
Democratic Assembly,20161024-statement-chair-assembly-committee-veterans-affairs.txt,,14,0,,0,0,0,False
Democratic Assembly,20161204-rubio-takes-oath-newest-assemblymember-48th-district.txt,,8,0,,0,0,0,False
Democratic Assembly,20161205-aguiar-curry-takes-assembly-seat-new-legislators-sworn-2017-18-session.txt,,13,0,,0,0,0,False
Democratic Assembly,20161205-assemblymember-gipson-introduces-bill-close-open-carry-loophole.txt,,22,0,,0,0,0,False
Democratic Assembly,20161205-berman-takes-oath-newest-assemblymember-24th-district.txt,,9,0,,0,0,0,False
Democratic Assembly,20161205-gipson-returns-democratic-caucus-chair.txt,,10,0,,0,0,0,False
Democratic Assembly,20161205-kalra-takes-oath-newest-assemblymember-27th-district.txt,,7,0,,0,0,0,False
Democratic Assembly,20161205-muratsuchi-takes-oath-returning-state-assemblymember-66th-district.txt,"February 19, 2017",12,0,,0,0,0,False
Democratic Assembly,20161205-sharon-quirk-silva-takes-oath-newest-assemblymember-65th-district.txt,,7,0,,0,0,0,False
Democratic Assembly,20161227-assemblymember-cecilia-aguiar-curry-named-chair-assembly-local-government.txt,,13,0,,0,0,0,False
Democratic Assembly,20161227-quirk-silva-chair-business-development-and-partnership-efforts-assembly.txt,,13,0,,0,0,0,False
Democratic Assembly,20170109-assemblymember-irwin-received-golden-bear-award-california-enlisted.txt,,16,0,,0,0,0,False
Democratic Assembly,20170110-assemblymember-arambula-statement-budget-proposal.txt,,9,0,,0,0,0,False
Democratic Assembly,20170110-gipson-named-grand-marshal-long-beach-mlk-jr-peace-and-unity-parade.txt,"January 14, 2017",23,0,,0,0,0,False
Democratic Assembly,20170110-quirk-silva-urges-greater-funding-higher-education-state-budget-proposal.txt,,16,0,,0,0,0,False
Democratic Assembly,20170113-sharon-quirk-silva-honors-many-contributions-korean-americans.txt,,8,0,,0,0,0,False
Democratic Assembly,20170113-statement-vote-appoint-new-california-attorney-general-xavier-becerra.txt,,8,0,,0,0,0,False
Democratic Assembly,20170119-assemblymember-al-muratsuchi-statement-south-coast-air-quality-management.txt,,8,0,,0,0,0,False
Democratic Assembly,20170119-assemblymember-berman-introduces-first-bill-combat-sea-level-rise.txt,"January 1, 2018",12,0,,0,0,0,False
Democratic Assembly,20170119-quirk-silva-announces-membership-key-committees.txt,,18,0,,0,0,0,False
Democratic Assembly,20170120-statement-assemblymember-mike-gipson-elected-officials-boycotting-president.txt,,12,0,,0,0,0,False
Democratic Assembly,20170123-assemblymember-mike-gipsons-statement-anniversary-roe-v-wade.txt,,11,0,,0,0,0,False
Democratic Assembly,20170123-assemblywoman-quirk-silva-responds-governors-state-state-address.txt,,13,0,,0,0,0,False
Democratic Assembly,20170123-berman-appointed-assembly-committees-key-bay-area.txt,,5,0,,0,0,0,False
Democratic Assembly,20170124-assemblymember-berman-responds-governors-state-state-address.txt,,13,0,,0,0,0,False
Democratic Assembly,20170124-muratsuchi-responds-governors-state-state-address.txt,,11,0,,0,0,0,False
Democratic Assembly,20170126-assemblymember-berman-responds-president-trumps-executive-orders.txt,,28,0,,0,0,0,False
Democratic Assembly,20170130-assemblywoman-quirk-silva-honors-orange-countys-lunar-new-year.txt,,14,0,,0,0,0,False
Democratic Assembly,20170130-muratsuchi-resolution-proclaims-korematsu-day-california.txt,,20,0,,0,0,0,False
