,name,district,title,link,date,party
3755,Cottie Petrie-Norris,73,RELEASE: Bill to Strengthen Patient Protections in Alcoholism and Drug Abuse Treatment Advances - Department of Health Care Services to Play a Critical Role in New State Effort,https://a73.asmdc.org/press-releases/20190703-release-bill-strengthen-patient-protections-alcoholism-and-drug-abuse,"Wednesday, July 3, 2019",Democrat
3756,Cottie Petrie-Norris,73,RELEASE: Bill to Help Seniors Remain in their Homes Receives Unanimous Support - Changes Will Enhance Service Delivery and Streamline PACE Programs,https://a73.asmdc.org/press-releases/20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support,"Wednesday, July 3, 2019",Democrat
3757,Cottie Petrie-Norris,73,RELEASE: Civic and Voter Empowerment Act for All Public Colleges and Universities - Bill Advances to Enhance Student Voter Engagement,https://a73.asmdc.org/press-releases/20190702-release-civic-and-voter-empowerment-act-all-public-colleges-and,"Tuesday, July 2, 2019",Democrat
3758,Cottie Petrie-Norris,73,RELEASE: Assemblywoman Cottie Petrie-Norris Announces State Budget Funding Secured for Coastal Orange County,https://a73.asmdc.org/press-releases/20190628-release-assemblywoman-cottie-petrie-norris-announces-state-budget-funding,"Friday, June 28, 2019",Democrat
3759,Cottie Petrie-Norris,73,"RELEASE: AB 526 Passes Senate Health Committee - Increasing Medi-Cal and WIC Enrollment for Vulnerable Women, Infants, and Children",https://a73.asmdc.org/press-releases/20190626-release-ab-526-passes-senate-health-committee-increasing-medi-cal-and-wic,"Wednesday, June 26, 2019",Democrat
3760,Cottie Petrie-Norris,73,RELEASE: Statement from Assemblywoman Cottie Petrie-Norris on John Wayne Airport General Aviation Improvement Program,https://a73.asmdc.org/press-releases/20190624-release-statement-assemblywoman-cottie-petrie-norris-john-wayne-airport,"Monday, June 24, 2019",Democrat
3761,Cottie Petrie-Norris,73,RELEASE: Bill to Expand Access to Birth Control Moves Forward,https://a73.asmdc.org/press-releases/20190617-release-bill-expand-access-birth-control-moves-forward,"Monday, June 17, 2019",Democrat
3762,Cottie Petrie-Norris,73,ADVISORY: OVERSIGHT HEARING ON FI$CAL IMPLEMENTATION - Wednesday,https://a73.asmdc.org/press-releases/20190617-advisory-oversight-hearing-fical-implementation-wednesday,"Monday, June 17, 2019",Democrat
3763,Cottie Petrie-Norris,73,Statement from Assemblywoman Cottie Petrie-Norris on 2019-20 Budget Bill,https://a73.asmdc.org/press-releases/20190613-statement-assemblywoman-cottie-petrie-norris-2019-20-budget-bill,"Thursday, June 13, 2019",Democrat
3764,Cottie Petrie-Norris,73,RELEASE: Orange County Poised to End Veteran Homelessness - $2.9 Million Secured in 2019-20 Budget,https://a73.asmdc.org/press-releases/20190612-release-orange-county-poised-end-veteran-homelessness-29-million-secured,"Wednesday, June 12, 2019",Democrat
3765,Cottie Petrie-Norris,73,Save Our Youth - Assembly District 74 Nonprofit of the Year / Newport/Costa Mesa Organization Honored on California Nonprofits Day,https://a73.asmdc.org/press-releases/20190605-save-our-youth-assembly-district-74-nonprofit-year-newportcosta-mesa,"Wednesday, June 5, 2019",Democrat
3766,Cottie Petrie-Norris,73,Bi-Partisan Legislative Substance Abuse Treatment Working Group Announced - Tackling the Opioid & Substance Abuse Epidemic,https://a73.asmdc.org/press-releases/20190604-bi-partisan-legislative-substance-abuse-treatment-working-group-announced,"Tuesday, June 4, 2019",Democrat
3767,Cottie Petrie-Norris,73,California State Assembly Select Committee on Student Debt First Informational Hearing,https://a73.asmdc.org/press-releases/20190517-california-state-assembly-select-committee-student-debt-first-informational,"Friday, May 17, 2019",Democrat
3768,Cottie Petrie-Norris,73,California State Assembly Select Committee on Student Debt to Hold First Informational Hearing,https://a73.asmdc.org/press-releases/20190515-california-state-assembly-select-committee-student-debt-hold-first,"Wednesday, May 15, 2019",Democrat
3769,Cottie Petrie-Norris,73,Statement from Assemblywoman Cottie Petrie-Norris on Governor’s Proposed Budget-May Revise,https://a73.asmdc.org/press-releases/20190509-statement-assemblywoman-cottie-petrie-norris-governors-proposed-budget-may,"Thursday, May 9, 2019",Democrat
3770,Cottie Petrie-Norris,73,Orange County Assemblymember Promotes Access to Birth Control for All Californians,https://a73.asmdc.org/press-releases/20190423-orange-county-assemblymember-promotes-access-birth-control-all-californians,"Tuesday, April 23, 2019",Democrat
3771,Cottie Petrie-Norris,73,State Assembly Votes to Invest in Green Infrastructure,https://a73.asmdc.org/press-releases/20190422-state-assembly-votes-invest-green-infrastructure,"Monday, April 22, 2019",Democrat
3772,Cottie Petrie-Norris,73,"Assembly Bill 526 Passes 1st Policy Committee - Increasing Medi-Cal Enrollment for Vulnerable Women, Infants, and Children",https://a73.asmdc.org/press-releases/20190409-assembly-bill-526-passes-1st-policy-committee-increasing-medi-cal,"Tuesday, April 9, 2019",Democrat
3773,Cottie Petrie-Norris,73,Assembly Health Committee Approves Calderon and Petrie-Norris Bill Aimed At Empowering Female Patients During Pelvic Exams,https://a73.asmdc.org/press-releases/20190409-assembly-health-committee-approves-calderon-and-petrie-norris-bill-aimed,"Tuesday, April 9, 2019",Democrat
3774,Cottie Petrie-Norris,73,Appointments Announced—California State Assembly Select Committee on Student Debt,https://a73.asmdc.org/press-releases/20190328-appointments-announced-california-state-assembly-select-committee-student,"Thursday, March 28, 2019",Democrat
3775,Cottie Petrie-Norris,73,Legislation to Assist Coastal Communities with Climate Change Passes 1st Committee,https://a73.asmdc.org/press-releases/20190325-legislation-assist-coastal-communities-climate-change-passes-1st-committee,"Monday, March 25, 2019",Democrat
3776,Cottie Petrie-Norris,73,Statement from Assemblywoman Cottie Petrie-Norris on Reports of Newport-Mesa Students Saluting a Swastika,https://a73.asmdc.org/press-releases/20190304-statement-assemblywoman-cottie-petrie-norris-reports-newport-mesa-students,"Monday, March 4, 2019",Democrat
3777,Cottie Petrie-Norris,73,RELEASE: Woman of the Year: Beth Krom,https://a73.asmdc.org/press-releases/20190304-release-woman-year-beth-krom,"Monday, March 4, 2019",Democrat
