source,filename,document_date,num_sentences,num_mentions,num_ai_mentions,num_science_mentions,num_claim_like,unique_urls_count,unique_dois_count,unique_arxiv_count,unique_other_refs_count,has_any_reference
Democratic Assembly,20170119-quirk-silva-announces-membership-key-committees.txt,,18,6,5,1,0,0,0,0,0,False
Democratic Assembly,20170120-statement-assemblymember-mike-gipson-elected-officials-boycotting-president.txt,,12,1,1,0,0,0,0,0,0,False
Democratic Assembly,20170123-assemblymember-mike-gipsons-statement-anniversary-roe-v-wade.txt,,11,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170123-assemblywoman-quirk-silva-responds-governors-state-state-address.txt,,13,1,1,0,0,0,0,0,0,False
Democratic Assembly,20170123-berman-appointed-assembly-committees-key-bay-area.txt,,5,1,1,0,0,0,0,0,0,False
Democratic Assembly,20170124-assemblymember-berman-responds-governors-state-state-address.txt,,13,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170124-muratsuchi-responds-governors-state-state-address.txt,,11,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170126-assemblymember-berman-responds-president-trumps-executive-orders.txt,,28,5,3,1,0,1,0,0,0,True
Democratic Assembly,20170130-assemblywoman-quirk-silva-honors-orange-countys-lunar-new-year.txt,,14,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170130-muratsuchi-resolution-proclaims-korematsu-day-california.txt,,20,6,5,1,0,0,0,0,0,False
Democratic Assembly,20170131-gipson-receives-high-score-environmental-policy.txt,,14,3,3,2,0,0,0,0,0,False
Democratic Assembly,20170207-californias-veterans-and-homeless-assisted-assemblywoman-quirk-silva.txt,,15,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170209-gipson-bill-raise-revenue-sanctuary-cities-targeted-federal-government.txt,,17,5,5,0,0,0,0,0,0,False
Democratic Assembly,20170209-gipson-introduces-mobilehome-park-owner-disclosure-act.txt,,15,4,4,1,0,0,0,0,0,False
Democratic Assembly,20170209-muratsuchi-colleagues-raise-concerns-assembly-labor-committee-hearing.txt,"February 18, 2015",23,4,4,0,1,0,0,0,0,False
Democratic Assembly,20170210-muratsuchi-introduces-ab-461-provide-student-loan-debt-relief.txt,,13,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170213-assembly-jobs-committee-opens-dialogue-stakeholders.txt,,15,3,2,0,0,1,0,0,0,True
Democratic Assembly,20170213-assemblywoman-quirk-silva-asks-day-remembrance-incarceration-japanese.txt,"February 19, 2017",25,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170213-muratsuchi-resolution-recognizes-75th-anniversary-executive-order-9066.txt,"February 19, 2017",33,10,10,0,0,0,0,0,0,False
Democratic Assembly,20170214-compton-community-college-district-gains-independence-and-moves-toward.txt,,20,4,4,0,0,0,0,0,0,False
Democratic Assembly,20170214-quirk-silva-champions-push-affordable-housing.txt,,18,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170217-muratsuchi-announces-plan-jobs-and-safety.txt,,25,5,5,0,0,0,0,0,0,False
Democratic Assembly,20170220-assemblywoman-quirk-silva-and-cfa-announce-bill-freezes-cost-public.txt,,16,4,2,1,1,0,0,0,0,False
Democratic Assembly,20170223-assemblymember-muratsuchi-releases-statement-torrance-refinery-fire-and.txt,,6,1,1,0,0,0,0,0,0,False
Democratic Assembly,20170223-assemblywoman-quirk-silva-presses-resolution-after-anaheim-discord.txt,,9,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170224-assemblymember-kalra-announces-list-emergency-service-resources-response.txt,"February 25, 2017",134,19,10,0,0,7,0,0,0,True
Democratic Assembly,20170227-gipson-selects-bridge-builder-ad64-woman-year.txt,,18,3,2,2,0,0,0,0,0,False
Democratic Assembly,20170227-more-ever-listening-other-points-view-critical.txt,,21,2,1,1,0,0,0,0,0,False
Democratic Assembly,20170228-assemblymember-berman-responds-bomb-threat-palo-alto.txt,,23,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170228-democratic-caucus-chair-responds-trumps-joint-address-congress.txt,,7,4,4,2,0,0,0,0,0,False
Democratic Assembly,20170301-berman-appointed-chair-select-committee-master-plan-higher-education.txt,,23,5,4,0,0,1,0,0,0,True
Democratic Assembly,20170305-assemblymember-berman-honors-rita-mancera-woman-year.txt,,54,4,3,1,0,0,0,0,0,False
Democratic Assembly,20170305-quirk-silva-honors-orange-county-leader-woman-year.txt,"March 11, 2017",30,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170306-assemblymember-arambula-honors-irma-olguin-jr-co-founder-bitwise-industries.txt,,14,5,5,1,0,0,0,0,1,True
Democratic Assembly,20170306-assemblymember-irwin-honors-ventura-county-superior-court-judge-michele.txt,"June 28, 2016",17,4,4,2,0,0,0,0,1,True
Democratic Assembly,20170307-housing-committee-approves-quirk-silva-resolution-help-future-homeowners.txt,,17,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170312-quirk-silva-and-assembly-leaders-announce-adegrees-not-debta-higher.txt,"March 14, 2017",9,3,2,1,0,0,0,0,0,False
Democratic Assembly,20170315-assemblymember-muratsuchis-ab-368-which-protects-young-sexual-assault.txt,,16,7,7,1,0,0,0,0,1,True
Democratic Assembly,20170320-assemblymember-muratsuchis-ab-368-which-protects-young-sexual-assault.txt,,11,5,5,1,0,0,0,0,1,True
Democratic Assembly,20170320-assemblywoman-quirk-silva-urges-csu-trustees-vote-against-tuition-increase.txt,,12,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170321-assemblywoman-quirk-silva-challenges-csu-trustees-tuition-increase.txt,,17,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170324-assembly-bill-ab-491-which-establishes-3m-grants-education-japanese.txt,,16,5,5,0,0,0,0,0,0,False
Democratic Assembly,20170327-assemblymember-al-muratsuchi-chairman-select-committee-aerospace-recognizes.txt,,14,5,4,1,0,0,0,0,0,False
Democratic Assembly,20170328-assemblymember-muratsuchi-advances-bill-culturally-sensitive-senior-health.txt,,13,3,1,1,0,0,0,0,1,True
Democratic Assembly,20170328-assemblywoman-quirk-silva-calls-tax-incentives.txt,,33,9,9,0,0,0,0,0,0,False
Democratic Assembly,20170328-el-departamento-de-salud-del-estado-se-rehusa-rectificar-un-error-que.txt,,1,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170328-sexual-assault-survivors-bill-rights-passed-first-hurdle-california.txt,,28,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170401-assemblymember-al-muratsuchi-testifies-south-coast-air-quality-management.txt,,16,5,5,0,0,0,0,0,0,False
Democratic Assembly,20170404-assemblywoman-quirk-silva-praises-irvine-leaders-veterans-cemetery-action.txt,,9,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170406-assemblymember-al-muratsuchis-assembly-bill-ab-1649-passes-out-assemblys.txt,,15,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170406-assemblywoman-quirk-silva-advances-legislation-safer-neighborhoods-and.txt,,17,6,6,0,1,0,0,0,0,False
Democratic Assembly,20170406-berman-releases-statement-historic-transportation-package.txt,,31,7,7,0,0,0,0,0,0,False
Democratic Assembly,20170407-52-billion-dollar-transportation-deal-finally-passes-legislature.txt,,10,3,2,1,0,0,0,0,0,False
Democratic Assembly,20170411-gipson-releases-statement-tragic-events-san-bernardino.txt,,6,3,2,1,1,0,0,0,0,False
Democratic Assembly,20170417-assemblymember-berman-appointed-chair-assembly-elections-and-redistricting.txt,,16,4,4,0,0,0,0,0,0,False
Democratic Assembly,20170417-gipson-expresa-su-oposicion-los-procedimientos-de-deportacion-del-dramer-de.txt,,6,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170417-gipson-expresses-opposition-deportation-procedures-california-dreamer.txt,,6,2,2,1,0,0,0,0,0,False
Democratic Assembly,20170417-quirk-silva-bill-help-homeless-veterans-advances.txt,,13,4,4,0,0,0,0,0,0,False
Democratic Assembly,20170418-gipson-alaba-negocios-locales-al-recibir-millones-de-dolares-en-creditos.txt,,20,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170418-gipson-praises-local-business-receiving-millions-tax-credits.txt,"April 13, 2017",22,1,1,0,0,0,0,0,0,False
Democratic Assembly,20170418-student-protection-act-assemblywoman-quirk-silva-passes-committee-higher.txt,,17,3,2,0,1,0,0,0,0,False
Democratic Assembly,20170419-assemblymember-al-muratsuchi-d-torrance-speaks-press-conference-announcing.txt,,16,7,6,3,0,0,0,0,1,True
Democratic Assembly,20170419-assemblymember-irwin-named-legislator-year-veterans-foreign-wars.txt,,22,6,5,0,0,1,0,0,0,True
Democratic Assembly,20170419-assemblymember-irwins-multiple-measures-bill-passes-through-higher.txt,,14,3,1,2,0,0,0,0,0,False
Democratic Assembly,20170420-assemblymember-al-muratsuchi-d-torrance-speaks-press-conference-announcing.txt,,15,7,6,3,0,0,0,0,1,True
Democratic Assembly,20170420-assemblymember-arambula-honors-victims-fresno-shootings-assembly-floor.txt,,29,4,3,1,0,0,0,0,1,True
Democratic Assembly,20170420-assemblywoman-quirk-silva-honors-dr-milton-gordon-assembly-floor.txt,,10,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170423-sharon-quirk-silva-honors-memory-lives-lost-during-holocaust.txt,,13,2,2,1,0,0,0,0,0,False
Democratic Assembly,20170424-assemblywoman-quirk-silva-calls-tax-incentives-california-manufacturing.txt,,9,5,4,2,0,0,0,0,0,False
Democratic Assembly,20170424-gipson-joins-philippine-consulate-general-provide-outreach-mission-city.txt,"May 6, 2017",19,2,2,0,0,0,0,0,0,False
Democratic Assembly,20170425-quirk-silva-bill-give-tax-cuts-small-businesses-approved-jobs-committee.txt,,18,4,4,0,0,0,0,0,0,False
Democratic Assembly,20170426-assemblymember-al-muratsuchis-assembly-bill-ab-1646-which-will-require.txt,,15,6,6,0,0,0,0,0,0,False
Democratic Assembly,20170426-assemblywoman-blanca-e-rubio-announces-upcoming-mobile-office-hours.txt,,1,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170426-gipson-frustrated-uc-systems-misuse-school-funding-despite-tuition-increase.txt,,9,4,2,3,0,0,0,0,0,False
Democratic Assembly,20170426-quirk-silva-legislation-homeless-and-poor-veterans-passes-key-committee.txt,,12,4,4,0,0,0,0,0,0,False
Democratic Assembly,20170429-gipson-reflects-1992-los-angeles-civil-unrest.txt,,9,1,1,1,0,0,0,0,0,False
Democratic Assembly,20170430-gipson-co-authors-house-resolution-recognize-and-celebrate-cinco-de-mayo.txt,5/7/17,70,4,3,3,0,0,0,0,0,False
Democratic Assembly,20170501-assemblymember-al-muratsuchi-participate-japanese-american-pilgrimage.txt,,24,1,1,0,0,0,0,0,0,False
Democratic Assembly,20170503-quirk-silva-challenges-hidden-uc-funds.txt,,23,7,6,0,0,2,0,0,0,True
Democratic Assembly,20170503-statement-assemblymember-al-muratsuchi-d-torrance-us-chemical-safety-boards.txt,,19,6,6,0,1,0,0,0,0,False
Democratic Assembly,20170504-assemblymember-dr-joaquin-arambula-responds-passage-trumpcare.txt,,20,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170504-berman-celebrates-asian-and-pacific-islander-american-heritage-month.txt,"May 11, 2017",33,4,2,1,1,0,0,0,0,False
Democratic Assembly,20170505-assemblywoman-blanca-e-rubio-hold-state-resources-fair-may-13th.txt,,1,0,0,0,0,0,0,0,0,False
Democratic Assembly,20170507-assemblymember-dr-joaquin-arambula-seeks-funding-local-police-departments.txt,,36,2,2,1,0,0,0,0,0,False
Democratic Assembly,20170508-assemblymember-dr-joaquin-arambula-advocates-funding-local-police.txt,,53,2,2,1,0,0,0,0,0,False
Democratic Assembly,20170508-gipson-denounces-trumps-flip-flop-hbcu-funding.txt,,10,4,3,0,0,0,0,0,1,True
Democratic Assembly,20170508-quirk-silva-and-assembly-leaders-honor-californiaas-peace-officers.txt,,10,3,3,0,0,0,0,0,0,False
Democratic Assembly,20170509-assemblymembers-muratsuchi-ting-and-mccarty-announce-assembly-bill.txt,,16,4,3,1,0,0,0,0,0,False
Democratic Assembly,20170509-quirk-silva-calls-uc-president-napolitanoas-resignation.txt,,23,5,4,1,0,2,0,0,0,True
Democratic Assembly,20170510-gipson-demands-uc-president-resign.txt,,9,2,2,1,0,0,0,0,0,False
Democratic Assembly,20170511-assemblymember-arambula-appointed-high-speed-rail-authority.txt,,26,7,7,0,0,0,0,0,0,False
Democratic Assembly,20170511-assemblymember-arambula-joins-vsp-free-eye-clinic.txt,,36,5,5,0,0,0,0,0,0,False
Democratic Assembly,20170511-california-senate-and-assembly-elections-chairs-dubious-trumps-recent-order.txt,,24,5,4,0,0,1,0,0,0,True
